set_num,name,year,theme_id,num_parts
306-2,VW Garage,1958,372,45
210-2,Small Store Set,1958,372,30
217-2,4 x 4 Corner Bricks,1958,371,30
216-1,2 x 10 Bricks,1958,371,25
215-2,2 x 8 Bricks  (EUR/UK/AUS),1958,371,24
282-1,"2 x 2 Sloping Roof Bricks, Red",1958,371,22
282-2,"2 x 2 Sloping Roof Bricks, Blue",1958,371,22
212-1,Small House - Left Set,1958,372,21
213-2,Small House - Right Set,1958,372,21
211-2,Small House Set,1958,372,20
232-2,16 Road Signs,1958,371,16
280-1,"Sloping Roof Bricks, Red",1958,371,14
280-2,"Sloping Roof Bricks, Blue",1958,371,14
214-2,"Ten Windows and Doors, Red",1958,371,10
214-3,"Ten Windows and Doors, White",1958,371,10
226-1,8 Named Beams,1958,371,9
215-2B,"2 x 8 Bricks, Blue (EUR/UK/AUS)",1958,371,6
215-2R,"2 x 8 Bricks, Red (EUR/UK/AUS)",1958,371,6
215-2W,"2 x 8 Bricks, White (EUR/UK/AUS)",1958,371,6
215-2Y,"2 x 8 Bricks, Yellow (EUR/UK/AUS)",1958,371,6
230-2,Six Trees and Bushes,1958,371,6
271-2,Traffic Police Set,1958,372,6
227-1,4 x 8 Curved & 2 x 8 Plates,1958,371,5
228-1,4 x 8 & 2 x 8 Plates,1958,371,5
242-1,International Flags,1958,371,5
242-2,5 Danish Flags,1958,371,5
242I-1,International Flags,1958,371,5
1233-2,Light Masts,1958,371,4
229-1,6 x 8 & 2 x 8 Plates,1958,371,4
233-1,Light Masts,1958,371,4
235-1,Garage Plate and Door (White Base and Door Frame),1958,371,3
245-1,Lighting Device Pack,1958,371,3
legobricks-1,Lego Bricks Box,1958,366,2
vwkit-1,Volkswagen Kit,1959,366,22
281-1,"1 x 2 and 3 x 2 Sloping Bricks, Red",1959,371,21
281-2,"1 x 2 and 3 x 2 Sloping Bricks, Blue",1959,371,21
200-4,LEGO Town Plan Board,1959,372,1
700K-1,Kindergarten LEGO Set,1960,513,476
237-1,Number Bricks,1960,371,50
238-1,Lego System Idea Book no. 1,1960,497,0
810-2,Town Plan - Continental European,1961,372,760
312-4,Boats,1961,377,107
311-4,Airplanes,1961,374,79
215-3,2 x 8 Bricks (USA/CAN),1961,371,45
214.9-1,1 x 1 x 1 Window Frame,1961,371,40
214.7-1,1 x 1 x 2 Window Frame,1961,371,38
214.8-1,1 x 2 x 1 Window Frame,1961,371,38
214.10-1,"1 x 2 x 4 Glass Door in Frame, Left",1961,371,26
214.5-1,1 x 3 x 2 Window in Frame,1961,371,24
214.4-1,1 x 4 x 2 Window in Frame,1961,371,18
214.2-1,1 x 6 x 2 Triple-Pane Window in Frame,1961,371,16
214.3-1,1 x 6 x 2 Double-Pane Window in Frame w/Shutters,1961,371,16
214.6-1,1 x 2 x 2 Window in Frame,1961,371,15
214.1-1,1 x 6 x 3 Window with Frame,1961,371,12
215-3B,"2 x 8 Bricks, Blue (USA/CAN)",1961,371,9
215-3R,"2 x 8 Bricks, Red (USA/CAN)",1961,371,9
215-3W,"2 x 8 Bricks, White (USA/CAN)",1961,371,9
215-3Y,"2 x 8 Bricks, Yellow (USA/CAN)",1961,371,9
242A-1,"International Flags - Italy, Switzerland, Belgium, Germany, Netherlands",1961,371,5
242B-1,"International Flags - Britain, France, Austria, Portugal, LEGO",1961,371,5
700L-1,Empty Kindergarten LEGO Box,1961,513,1
238-2,Lego System Idea Book (by Samsonite),1961,497,0
810-4,"Town Plan - UK, Cardboard box",1962,372,755
521-1,1 x 2 Plates (cardboard box version),1962,371,640
519-1,2 x 3 Plates (cardboard box version),1962,371,240
518-1,2 x 4 Plates (cardboard box version),1962,371,192
521-10,1 x 1 and 1 x 2 Plates - Blue,1962,252,82
521-11,1 x 1 and 1 x 2 Plates - Light Gray (architectural hobby und modelbau version),1962,252,82
521-12,1 x 1 and 1 x 2 Plates - Red (architectural hobby und modelbau version),1962,252,82
521-13,1 x 1 and 1 x 2 Plates - Trans-Clear (architectural hobby und modelbau version),1962,252,82
521-14,1 x 1 and 1 x 2 Plates - White (architectural hobby und modelbau version),1962,252,82
521-15,1 x 1 and 1 x 2 Plates - Yellow (architectural hobby und modelbau version),1962,252,82
521-9,1 x 1 and 1 x 2 Plates - Black (architectural hobby und modelbau version),1962,252,82
520-10,2 x 2 Plates - Blue (architectural hobby und modelbau version),1962,252,42
520-11,2 x 2 Plates - Light Gray (architectural hobby und modelbau version),1962,252,42
520-12,2 x 2 Plates - Red (architectural hobby und modelbau version),1962,252,42
520-13,2 x 2 Plates - Trans-Clear (architectural hobby und modelbau version),1962,252,42
520-14,2 x 2 Plates - White (architectural hobby und modelbau version),1962,252,42
520-15,2 x 2 Plates - Yellow (architectural hobby und modelbau version),1962,252,42
520-9,2 x 2 Plates - Black (architectural hobby und modelbau version),1962,252,42
520-1,2 x 2 Plates - Black (cardboard box version),1962,371,40
520-2,2 x 2 Plates - Blue (cardboard box version),1962,371,40
520-3,2 x 2 Plates - Green (cardboard box version),1962,371,40
520-8,2 x 2 Plates - Yellow (cardboard box version),1962,371,40
519-10,2 x 3 Plates - Blue (architectural hobby und modelbau version),1962,252,32
519-11,2 x 3 Plates - Light Gray (architectural hobby und modelbau version),1962,252,32
519-12,2 x 3 Plates - Red (architectural hobby und modelbau version),1962,252,32
519-13,2 x 3 Plates - Trans-Clear (architectural hobby und modelbau version),1962,252,32
519-14,2 x 3 Plates - White (architectural hobby und modelbau version),1962,252,32
519-15,2 x 3 Plates - Yellow (architectural hobby und modelbau version),1962,252,32
519-9,2 x 3 Plates - Black (architectural hobby und modelbau version),1962,252,32
518-10,2 x 4 Plates - Blue (architectural hobby und modelbau version),1962,252,26
518-11,2 x 4 Plates - Light Gray (architectural hobby und modelbau version),1962,252,26
518-12,2 x 4 Plates - Red (architectural hobby und modelbau version),1962,252,26
518-13,2 x 4 Plates - Trans-Clear (architectural hobby und modelbau version),1962,252,26
518-14,2 x 4 Plates - White (architectural hobby und modelbau version),1962,252,26
518-15,2 x 4 Plates - Yellow (architectural hobby und modelbau version),1962,252,26
518-9,2 x 4 Plates - Black (architectural hobby und modelbau version),1962,252,26
215-3Bk,"2 x 8 Bricks, Black (USA/CAN)",1962,371,9
229.1-1,2 x 8 Plates,1962,371,8
200-5,"LEGO Town Plan Board, UK / Australian",1962,372,1
238-3,Lego System Idea Book no. 1,1962,497,0
238-4,Lego System Ideas Book no. 2,1962,497,0
905-1,Doll Set,1963,365,266
318-1,Windmill Set,1963,367,153
317-1,Truck,1963,378,125
340-4,Railroad Control Tower,1963,367,74
316-2,Farm Tractor,1963,375,49
315-3,European Taxi,1963,378,48
520-4,2 x 2 Plates - Light Gray (cardboard box version),1963,371,40
520-5,2 x 2 Plates - Red (cardboard box version),1963,371,40
520-6,2 x 2 Plates - Trans-Clear (cardboard box version),1963,371,40
520-7,2 x 2 Plates - White (cardboard box version),1963,371,40
314-2,Large & Small Wheels & Turn-Table,1963,379,35
400-4,Small Wheels with Axles (System),1963,371,12
242.1-1,6 International Flags -1-,1963,371,6
242.2-1,6 International Flags -2-,1963,371,6
242.3-1,6 International Flags -3-,1963,371,6
238-5,Lego System Ideas Book no. 2,1963,497,0
238-6,Lego System Idea Book,1963,497,0
238-7,So Bauen Wir Mit LEGO,1963,497,0
7100-1,Samsonite Large Educational Set,1963,523,0
b63de-01,LEGO Hobby und Modellbau,1963,497,0
323-1,Train,1964,380,253
324-2,House with Garage,1964,367,174
322-2,Town House,1964,367,171
305-2,Fire Engine,1964,376,170
801-3,Space Rocket,1964,365,115
802-3,Player Piano,1964,365,90
805-2,3 Little Indians,1964,365,89
806-2,Cowboy & Pony,1964,365,87
304-2,Tractor & Trailer,1964,375,82
804-2,Building Crane,1964,365,64
803-3,Seesaw,1964,365,47
303-2,Aeroplane,1964,374,46
041-1,Pre-School Beginners Set,1964,440,24
401-3,Large Wheels with Axles (System),1964,371,7
402-2,White Turntables,1964,371,5
799-1,"Baseplate, Gray",1964,371,1
238-8,Lego System Ideas Book No. 3,1964,497,0
238-9,Lego System Idea Book (by Samsonite),1964,497,0
509-1,38 Slimbricks Assorted Sizes,1965,371,228
321-1,Clowns,1965,366,223
510-2,Tiles,1965,371,156
320-2,Airplane,1965,374,120
409-1,38 Slimbricks Assorted Sizes,1965,371,114
319-1,Truck with Trailer,1965,378,74
326-1,Small Cottage,1965,367,63
010-1,Basic Building Set in Cardboard,1965,366,57
001-1,Gears,1965,1,43
005-1,Basic Building Set in Cardboard,1965,366,35
002-1,4.5V Samsonite Gears Motor Set,1965,1,3
90-2,Educational Box - Empty,1965,513,1
003-1,Master Mechanic Set,1966,366,403
113-2,Motorized Train Set,1966,235,344
285-1,Medium Basic Set,1966,366,288
470-1,"1 x 1, 1 x 2, 2 x 2, 2 x 3, 2 x 4 Plates",1966,371,273
420-4,2 x 2 Bricks (System),1966,371,198
021-1,Wheel Set,1966,366,183
421-1,1 x 2 Bricks,1966,371,176
471-1,Tiles (System),1966,371,156
419-3,2 x 3 Bricks (System),1966,371,150
313-1,London Bus,1966,378,140
115-2,Starter Train Set with Motor,1966,235,132
418-3,2 x 4 Bricks (System),1966,371,126
120-2,Small Basic Set,1966,366,121
111-2,Starter Train Set without Motor,1966,235,118
325-3,Shell Service Station,1966,367,101
420-3,2 x 2 Bricks (The Building Toy),1966,371,100
114-2,Small Train Set,1966,235,88
423-3,Curved and Round Bricks (The Building Toy),1966,371,84
419-2,2 x 3 Bricks (The Building Toy),1966,371,75
112-2,Locomotive with Motor,1966,235,74
333-3,Delivery Truck,1966,382,68
418-2,2 x 4 Bricks (The Building Toy),1966,371,65
051-1,Assorted Basic Bricks - Red,1966,371,50
052-1,Assorted Basic Bricks - White,1966,371,50
053-1,Assorted Basic Bricks - Blue,1966,371,50
054-1,Assorted Basic Bricks - Yellow,1966,371,50
434-1,50 lettered bricks (The Building Toy),1966,371,50
437-1,50 numbered bricks (The Building Toy),1966,371,50
459-1R,"1 x 1 x 1 Windows Refill, Red",1966,371,50
459-1W,"1 x 1 x 1 Windows Refill, White",1966,371,50
460-2R,"1 x 2 x 3 Doors Refill, Red",1966,371,50
460-2W,"1 x 2 x 3 Doors Refill, White",1966,371,50
487-2,1 x 1 Bricks with Numbers (System),1966,371,44
488-1,1 x 1 Bricks with Letters (System),1966,371,44
459-1,"1 x 1 x 1 Windows Refill, Red or White",1966,371,40
457-1,"1 x 1 x 2 Window, Red or White",1966,371,38
458-1,"1 x 2 x 1 Window, Red or White",1966,371,38
481-5,"Slopes Regular, Double, Angle, Valley and Corner, Red (System)",1966,371,34
481-6,"Slopes Regular, Double, Angle, Valley and Corner, Blue (System)",1966,371,34
456-2,"1 x 2 x 2 Window, Red or White",1966,371,30
422-1,"1 x 1, 1 x 2, 1 x 4, 1 x 6, 1 x 8 Bricks",1966,371,28
100-2,4.5V Motor with Wheels (Large Version),1966,243,27
415-1,5 Sixteens and 4 Twenties (System),1966,371,27
058-1,Small Wheels,1966,371,26
460-2,"1 x 2 x 3 Doors Refill, Red or White",1966,371,26
055-1,Trees & Bushes,1966,371,25
150-1,Straight Track,1966,243,25
151-1,Curved Track,1966,243,25
455-2,"1 x 3 x 2 Window, Red or White",1966,371,24
480-6,"Slopes and Slopes Double 2 x 4, Red (System)",1966,371,23
480-7,"Slopes and Sloped Double 2 x 4, Blue (System)",1966,371,23
152-1,Two Train Wagons,1966,235,22
482-3,"Slopes and Slopes Double 2 x 2, Red (The Building Toy)",1966,371,22
482-4,"Slopes and Slopes Double 2 x 2, Blue (The Building Toy)",1966,371,22
481-3,"Slopes and Slopes Double 2 x 3 and 2 x 1, Red (The Building Toy)",1966,371,21
481-4,"Slopes and Slopes Double 2 x 3 an 2 x 1, Blue (The Building Toy)",1966,371,21
491-2,"Shell Station Brick and Sign, 6 Named Beams",1966,371,21
417-4,Cornerbricks (System),1966,371,20
421-2,2 eights 2 sixes 2 fours 8 twos 6 ones (The Building Toy),1966,371,20
483-4,"Angle, Valley and Corner Slopes, Red (The Building Toy)",1966,371,20
483-5,"Angle, Valley and Corner Slopes, Blue (The Building Toy)",1966,371,20
416-1,4 Sixteens 2 Twenties (The Building Toy),1966,371,18
454-2,"1 x 4 x 2 Window, Red or White",1966,371,18
057-1,Large Wheels,1966,371,17
100-1,4.5V Motor with Wheels (Small Version),1966,243,16
452-2,"1 x 6 x 2 Window, Red or White",1966,371,16
453-2,"1 x 6 x 2 Shuttered Windows, Red or White",1966,371,16
462-2,"2 x 8 Plates, White",1966,371,16
060-1,Assorted White Plates,1966,371,15
153-1,Large Train Wagon,1966,235,15
480-4,"Slopes and Slopes Double 2 x 4, Red (The Building Toy)",1966,371,14
480-5,"Slopes and Slopes Double 2 x 4, Blue (The Building Toy)",1966,371,14
489-1,Traffic Signs,1966,371,14
431-1,Gas Station (The Building Toy),1966,371,13
400-3,Small Wheels with Axles (The Building Toy),1966,371,12
403-3,Train Couplers and Wheels (System),1966,371,12
451-1,"1 x 6 x 3 Window, Red or White",1966,371,12
414-3,"Windows Parts Pack, Red (The Building Toy)",1966,371,10
414-4,"Windows Parts Pack, White (The Building Toy)",1966,371,10
414-5,"Windows Parts Pack, Red (System)",1966,371,10
414-6,"Windows Parts Pack, White (System)",1966,371,10
417-3,Cornerbricks (The Building Toy),1966,371,10
042-1,Jumbo Brick Pull Toy,1966,440,9
490-2,Trees and Bushes,1966,371,9
501-3,JUMBO Pull Toy,1966,369,9
427-1,8 Plates 2 x 8 (The Building Toy),1966,371,8
432-1,Road Signs (The Building Toy),1966,371,8
463-1,"4 x 8 Plates, White",1966,371,8
492-2,Nordic and American Flags,1966,371,8
493-2,European Flags,1966,371,8
401-2,Large Wheels with Axles (The Building Toy),1966,371,7
426-1,7 Named Beams (The Building Toy),1966,371,7
430-2,Six Trees and Bushes (The Building Toy),1966,371,6
433-1,6 Street Lamps with Curved Top (The Building Toy),1966,371,6
464-1,"6 x 8 Plates, White",1966,371,6
700-1,10 x 20 Brickplate,1966,371,6
061-1,Five Large Base Plates - Green,1966,371,5
062-1,Five Large Base Plates - White,1966,371,5
063-1,Five Large Base Plates - Blue,1966,371,5
402-3,White Turntables,1966,371,5
428-1,5 Plates 4 x 8 (The Building Toy),1966,371,5
429-1,4 Plates 6 x 8 (The Building Toy),1966,371,4
485-2,Lighting Brick (System),1966,371,4
435-2,Garage Plate and Door (The Building Toy),1966,371,3
445-2,Lighting Device Pack (The Building Toy),1966,371,3
101-3,4.5V Battery Case,1966,243,1
710-2,Lockable Storage Case,1966,371,1
239-1,Wir bauen mit Lego Idea Book,1966,497,0
461-1,"Windows and Doors, Retailer Pack",1966,371,0
820-2,"LegoWooden Storage Box Large (Double Latch) with Contents, with Lattice",1966,365,0
b66de-01,LEGO Motor Eisenbahn,1966,499,0
080-1,Basic Building Set with Train,1967,366,712
080-2,Ambassador Set,1967,366,712
116-1,Starter Train Set with Motor,1967,235,364
371-2,Motorized Truck Set,1967,301,314
04-Feb,Velveeta Set No. 4 with Carrying Case,1967,366,283
343-2,Ferry,1967,377,147
329-1,Antique Car,1967,378,111
117-1,Locomotive without Motor,1967,235,99
335-2,Transport Truck,1967,382,99
335-3,Transport Truck,1967,382,99
01-Mar,Velveeta Set No. 1,1967,366,74
334-1,Truck with Flatbed,1967,382,72
333-2,Delivery Truck,1967,382,68
332-1,Tow Truck,1967,378,56
331-1,Dump Truck,1967,381,45
328-2,Biplane,1967,374,44
05-Feb,Velveeta Set No. 5,1967,371,20
494-1,"Gates and Fence, Red (System)",1967,371,17
494-2,"Gates and Fence, White (The Building Toy)",1967,371,17
155-1,"2 Cross Rails, 8 Straight Tracks, 4 Base Plates",1967,243,14
403-2,Train Couplers and Wheels (The Building Toy),1967,371,12
404-3,Wheels for Motor (The Building Toy),1967,371,12
404-4,Wheels for the Motor (System),1967,371,12
154-1,Switch Track - 1 Right and 1 Left,1967,243,4
240-2,Idea Book,1967,497,1
890-2,"Lockable Storage Box, Empty",1967,371,1
005-2,Discovery Set,1967,366,0
240-1,"Wooden Storage Box Large, Empty",1967,383,0
066-1,Basic Building Set,1968,366,407
119-1,Super Train Set,1968,235,401
116-2,Deluxe Motorized Train Set,1968,235,361
055-2,Basic Building Set,1968,366,256
044-1,Basic Building Set,1968,366,225
223-1,Adventure Set,1968,366,223
342-1,Station,1968,367,191
342-2,Terminal Building,1968,367,191
033-2,Basic Building Set,1968,366,177
343-1,Train Ferry,1968,377,147
011-1,Basic Building Set,1968,366,145
317-3,Truck,1968,378,125
341-1,Warehouse,1968,367,123
341-3,Warehouse,1968,367,123
320-3,Airplane,1968,374,120
118-2,Small Train Set,1968,235,117
329-3,Antique Car,1968,378,111
022-1,Basic Building Set,1968,366,110
118-1,Electronic Train,1968,235,103
010-3,Basic Building Set,1968,366,77
336-1,Fire Engine,1968,376,76
319-2,Truck with Trailer,1968,378,74
340-3,Railroad Control Tower,1968,367,74
334-2,SEMI-Trailer Truck,1968,382,72
330-3,Jeep,1968,378,65
330-4,Jeep,1968,378,65
060-3,Jumbo Brick School Set,1968,440,60
236-3,Garage with Automatic Door (Gray base and door frame),1968,372,59
332-2,Tow Truck,1968,381,56
316-3,Farm Tractor,1968,375,49
315-4,European Taxi,1968,378,48
331-2,Dump Truck,1968,381,45
102-1,4.5V Motor Set,1968,243,24
503-2,Pre-School Large Set,1968,369,16
502-2,Pre-School Medium Set,1968,369,8
156-1,2 Signals with Automatic Stop / Go Attachment,1968,243,6
160-1,Magnetic Couplings,1968,243,6
235-2,Garage Plate and Door (Gray Base and Door Frame),1968,371,5
239-2,Das große Lego-Buch Idea Book,1968,497,0
842-2,Town Plan,1969,104,797
088-1,Super Set,1969,469,615
118-3,Motorized Freight or Passenger Train,1969,235,419
127-1,Train Set,1969,235,365
720-2,Train with 12V Electric Motor,1969,234,357
347-4,Fire Station with Mini-Wheel Vehicles,1969,417,206
919-1,"31 bricks with 2, 4 and 6 studs",1969,371,186
310-1,Motorized Truck Set,1969,365,182
346-2,House with Car,1969,413,167
120-1,Complete Freight Train Set with Tipper Trucks,1969,235,163
971-1,52 flat tile bricks,1969,371,156
923-1,"50 bricks, curved and round",1969,371,150
140-2,Bricks'n Motor Set,1969,469,141
970-2,47 1/3 elements (plates),1969,371,141
345-1,House with Mini Wheel Car,1969,413,132
918-2,21 8-Stud Bricks,1969,371,126
721-1,Steam Locomotive,1969,234,114
138-1,Electronic Train,1969,235,107
102-3,Super Value Set,1969,411,102
123-1,Passenger Coach,1969,235,98
122-1,Loco and Tender,1969,235,96
337-2,Truck with Crane and Caterpillar Track,1969,381,92
344-1,Bungalow,1969,413,77
124-1,Goods Wagon,1969,235,56
987-1,Number Bricks,1969,371,52
988-1,Alphabet Bricks,1969,371,45
322-4,Educational Gear Set,1969,523,43
981-1,"34 sloping profile bricks, including profile peak bricks, Red",1969,371,39
981-2,"34 sloping profile bricks, including profile peak bricks, Blue",1969,371,39
044-2,Jumbo Bricks,1969,440,30
922-1,"28 Bricks with 1, 2, 4, 6 and 8 Studs [Red/White]",1969,371,28
922-2,"28 Bricks with 1, 2, 4, 6 and 8 Studs [Blue/Yellow]",1969,371,28
922-3,"28 Bricks with 1, 2, 4, 6 and 8 Studs [Black/Trans-Clear]",1969,371,28
702-1,12V Motor with Accessories Pack,1969,242,25
103-1,4.5V Motor Set with Rubber Tracks,1969,473,24
980-1,"23 sloping bricks, including roof peak bricks, Red",1969,371,23
980-2,"23 sloping bricks, including roof peak bricks, Blue",1969,371,23
995-1,Lighting Bricks with Color Filters,1969,371,23
918-black-2,21 Black 2x4 Bricks,1969,371,21
918-blue-2,21 Blue 2x4 Bricks,1969,371,21
918-red-2,21 Red 2x4 Bricks,1969,371,21
918-tclear-2,21 Trans-Clear 2x4 Bricks,1969,371,21
918-white-2,21 White 2x4 Bricks,1969,371,21
918-yellow-2,21 Yellow 2x4 Bricks,1969,371,21
125-1,Tipping Wagon,1969,235,20
994-1,LEGO fences with garden gates,1969,371,19
510-3,Building Set,1969,505,17
906-1,12 doors and 5 hinges,1969,371,17
139A-1,Electronic Control Unit (Forward - Stop),1969,243,13
900-2,4 Small Wheels with Accessories,1969,371,12
990-2,Trees and Signs (1969 version with old style trees and 3 bricks),1969,473,11
903-1,Train Wheels and Couplers,1969,371,10
914-1,"Windows, Red",1969,371,10
914-2,"Windows, White",1969,371,10
964-1,"10 building plates 2 x 8, 4 x 8, 6 x 8",1969,371,10
989-1,10 Traffic Signs,1969,371,10
139-1,Electronic Control Unit (Forward/Backward - Stop),1969,243,9
915-1,6 bricks with 16 and 20 studs and 3 Angle Bricks White/Red,1969,371,9
915-2,6 bricks with 16 and 20 studs and 3 Angle Bricks Blue/Yellow,1969,371,9
750-1,8 Straight 12V Conducting Rails,1969,242,8
751-1,8 Curved 12V Conducting Rails,1969,242,8
157-2,Automatic Direction Changer,1969,243,7
158-1,Railroad Crossing Gate,1969,243,7
901-2,2 Large Wheels with Accessories,1969,371,7
065-1,Two Garage Door Kits,1969,371,6
753-1,Automatic Right Electric Switch,1969,242,5
754-1,Automatic Left Electric Switch,1969,242,5
902-1,5 Turntables,1969,371,5
050-2,Lighting Device Pack,1969,371,4
705-1,Motor Bushings,1969,242,4
985-1,Lighting Device Parts Pack,1969,371,4
704-1,12V Sleeper (Track) Contacts for Old Motor Type I and II,1969,242,2
101-1,4.5V Battery Case,1969,243,1
703-1,12V Replacement Electric Motor,1969,242,1
706-1,12V Rail Contact Wire with Transformer Connector,1969,242,1
740-2,12V Transformer for 220V Pack,1969,242,1
986-1,One Light Bulb,1969,371,1
241-1,4.5v Idea Book,1969,497,0
00-1,Weetabix Castle,1970,414,471
04-Apr,Large House Set,1970,433,218
347-1,Fire Station with Mini Cars,1970,417,206
311-5,Remote Control Car Set,1970,365,188
03-Jun,Medium House Set,1970,433,158
722-2,12V Electric Train with 2 Wagons,1970,234,151
348-2,Mini-Wheel Car and Truck Set,1970,423,135
345-3,House with Mini-Wheel Car,1970,413,132
800-1,Gear Set with Motor,1970,472,120
346-1,Jumbo Jet,1970,412,117
801-1,Gear Set,1970,472,112
02-Aug,Medium House Set,1970,433,109
723-1,Diesel Locomotive,1970,234,95
338-1,Ambulance,1970,420,74
01-Aug,Little House Set,1970,433,67
157-3,Four Car Auto Transport,1970,423,65
102A-1,Front-End Loader,1970,416,64
126-1,Steam Locomotive (Push),1970,235,60
102A-2,Front-End Loader,1970,416,56
622-2,Baggage Carts,1970,412,45
